,eo_boak_lo
timetype,seq
endyear,2035
GSw_NuclearCapMandate,2
GSw_NuclearCapMandateScen,eo2025
GSw_NuclearCapMandate_Scale,1
pras,1
GSw_PRM_StressIterateMax,0
GSw_PRM_CapCredit,1
GSw_StorageHybrid,1
GSw_StorageHybrid_Types,1_2_3_4_5_6_7_8
GSw_StorageHybrid_GenTechs,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear_nuclear_nuclear_nuclear
GSw_StorageHybrid_StorageTechs,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms
GSw_StorageHybrid_BCR,0.25_0.5_0.75_1.0_0.25_0.5_0.75_1.0
GSw_StorageHybrid_GridCharging,0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0
GSw_NuclearLearning,1
GSw_NuclearLearning_LR_large,0.0800
GSw_NuclearLearning_LR_smr,0.0950
GSw_NuclearLearning_BOAK_large,5250
GSw_NuclearLearning_BOAK_smr,5500
GSw_NuclearLearning_Vendors,4
GSw_NuclearLearning_Spillover,0.5
GSw_NuclearLearning_Convention,0
GSw_NuclearLearning_CES_rho,0
GSw_NuclearLearning_Dur_Lambda,0.5
GSw_NuclearLearning_ForeignScen,mid
